date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-02-16,2121.9,2152.68,2104.36,2104.36,1133838,2121.9,2152.68,2104.36,2104.36,1133838,0.0,1.0
2021-02-17,2128.31,2133.66,2098.92,2100.0,1020252,2128.31,2133.66,2098.92,2100.0,1020252,0.0,1.0
2021-02-18,2117.2,2132.735,2103.71,2110.39,1121855,2117.2,2132.735,2103.71,2110.39,1121855,0.0,1.0
2021-02-19,2101.14,2130.53,2097.41,2119.27,1457612,2101.14,2130.53,2097.41,2119.27,1457612,0.0,1.0
2021-02-22,2064.88,2091.42,2062.14,2067.0,1349856,2064.88,2091.42,2062.14,2067.0,1349856,0.0,1.0
2021-02-23,2070.86,2082.01,2002.02,2025.01,1667377,2070.86,2082.01,2002.02,2025.01,1667377,0.0,1.0
2021-02-24,2095.17,2100.78,2038.13,2041.83,1248349,2095.17,2100.78,2038.13,2041.83,1248349,0.0,1.0
2021-02-25,2031.36,2094.88,2021.29,2067.45,1761201,2031.36,2094.88,2021.29,2067.45,1761201,0.0,1.0
2021-02-26,2036.86,2071.0099,2016.06,2050.52,2076974,2036.86,2071.0099,2016.06,2050.52,2076974,0.0,1.0
2021-03-01,2081.51,2086.52,2046.1,2056.52,1405115,2081.51,2086.52,2046.1,2056.52,1405115,0.0,1.0
2021-03-02,2075.84,2104.37,2071.26,2076.19,1134595,2075.84,2104.37,2071.26,2076.19,1134595,0.0,1.0
2021-03-03,2026.71,2088.518,2010.0,2067.21,1484181,2026.71,2088.518,2010.0,2067.21,1484181,0.0,1.0
2021-03-04,2049.09,2089.24,2020.27,2023.37,2118006,2049.09,2089.24,2020.27,2023.37,2118006,0.0,1.0
2021-03-05,2108.54,2118.11,2046.415,2073.12,2195218,2108.54,2118.11,2046.415,2073.12,2195218,0.0,1.0
2021-03-08,2024.17,2128.81,2021.61,2101.13,1647429,2024.17,2128.81,2021.61,2101.13,1647429,0.0,1.0
2021-03-09,2052.7,2078.04,2047.83,2070.0,1697306,2052.7,2078.04,2047.83,2070.0,1697306,0.0,1.0
2021-03-10,2055.03,2075.0,2033.37,2071.76,1268592,2055.03,2075.0,2033.37,2071.76,1268592,0.0,1.0
2021-03-11,2114.77,2125.7,2072.38,2074.06,1239080,2114.77,2125.7,2072.38,2074.06,1239080,0.0,1.0
2021-03-12,2061.92,2090.26,2047.55,2085.0,1725794,2061.92,2090.26,2047.55,2085.0,1725794,0.0,1.0
2021-03-15,2066.49,2067.06,2043.51,2062.3,1298325,2066.49,2067.06,2043.51,2062.3,1298325,0.0,1.0
2021-03-16,2092.52,2123.56,2070.0,2078.99,1491564,2092.52,2123.56,2070.0,2078.99,1491564,0.0,1.0
2021-03-17,2091.08,2109.78,2054.0,2076.03,1299016,2091.08,2109.78,2054.0,2076.03,1299016,0.0,1.0
2021-03-18,2036.22,2075.5,2033.55,2061.0,1362430,2036.22,2075.5,2033.55,2061.0,1362430,0.0,1.0
2021-03-19,2043.2,2053.1,2017.68,2042.05,2314893,2043.2,2053.1,2017.68,2042.05,2314893,0.0,1.0
2021-03-22,2038.59,2057.99,2026.07,2041.84,1954816,2038.59,2057.99,2026.07,2041.84,1954816,0.0,1.0
2021-03-23,2052.96,2072.3025,2039.22,2051.7,1366997,2052.96,2072.3025,2039.22,2051.7,1366997,0.0,1.0
2021-03-24,2045.06,2078.21,2041.555,2065.37,1154029,2045.06,2078.21,2041.555,2065.37,1154029,0.0,1.0
2021-03-25,2044.36,2058.87,2010.73,2044.81,1418907,2044.36,2058.87,2010.73,2044.81,1418907,0.0,1.0
2021-03-26,2035.55,2050.99,2014.0201,2038.86,1493800,2035.55,2050.99,2014.0201,2038.86,1493800,0.0,1.0
2021-03-29,2055.95,2058.43,2015.62,2027.88,1229777,2055.95,2058.43,2015.62,2027.88,1229777,0.0,1.0
2021-03-30,2055.54,2070.78,2044.03,2057.63,1036774,2055.54,2070.78,2044.03,2057.63,1036774,0.0,1.0
2021-03-31,2068.63,2093.3273,2056.745,2059.12,1459930,2068.63,2093.3273,2056.745,2059.12,1459930,0.0,1.0
2021-04-01,2137.75,2142.94,2096.89,2097.95,1698978,2137.75,2142.94,2096.89,2097.95,1698978,0.0,1.0
2021-04-05,2225.55,2237.31,2151.62,2152.94,2164875,2225.55,2237.31,2151.62,2152.94,2164875,0.0,1.0
2021-04-06,2224.75,2237.66,2214.8,2222.5,1353036,2224.75,2237.66,2214.8,2222.5,1353036,0.0,1.0
2021-04-07,2249.68,2255.0,2225.3303,2226.13,1289861,2249.68,2255.0,2225.3303,2226.13,1289861,0.0,1.0
2021-04-08,2265.44,2284.005,2257.68,2277.96,1358259,2265.44,2284.005,2257.68,2277.96,1358259,0.0,1.0
2021-04-09,2285.88,2289.04,2253.7139,2256.7,1044365,2285.88,2289.04,2253.7139,2256.7,1044365,0.0,1.0
2021-04-12,2254.79,2275.32,2238.465,2266.25,1565851,2254.79,2275.32,2238.465,2266.25,1565851,0.0,1.0
2021-04-13,2267.27,2277.21,2256.09,2261.47,1165804,2267.27,2277.21,2256.09,2261.47,1165804,0.0,1.0
2021-04-14,2254.84,2277.99,2249.19,2275.16,1010967,2254.84,2277.99,2249.19,2275.16,1010967,0.0,1.0
2021-04-15,2296.66,2306.5965,2266.0,2276.98,1373612,2296.66,2306.5965,2266.0,2276.98,1373612,0.0,1.0
2021-04-16,2297.76,2306.44,2284.45,2303.0,1130090,2297.76,2306.44,2284.45,2303.0,1130090,0.0,1.0
2021-04-19,2302.4,2318.45,2287.845,2291.98,1234445,2302.4,2318.45,2287.845,2291.98,1234445,0.0,1.0
2021-04-20,2293.63,2309.6,2271.71,2307.89,1088749,2293.63,2309.6,2271.71,2307.89,1088749,0.0,1.0
2021-04-21,2293.29,2295.32,2258.57,2285.25,1196731,2293.29,2295.32,2258.57,2285.25,1196731,0.0,1.0
2021-04-22,2267.92,2303.7621,2256.45,2293.23,1054808,2267.92,2303.7621,2256.45,2293.23,1054808,0.0,1.0
2021-04-23,2315.3,2325.82,2278.21,2283.47,1435162,2315.3,2325.82,2278.21,2283.47,1435162,0.0,1.0
2021-04-26,2326.74,2341.26,2313.84,2319.93,1041650,2326.74,2341.26,2313.84,2319.93,1041650,0.0,1.0
2021-04-27,2307.12,2337.45,2304.27,2336.0,1598583,2307.12,2337.45,2304.27,2336.0,1598583,0.0,1.0
2021-04-28,2379.91,2452.378,2374.85,2407.145,2986439,2379.91,2452.378,2374.85,2407.145,2986439,0.0,1.0
2021-04-29,2429.89,2436.52,2402.28,2410.33,1977677,2429.89,2436.52,2402.28,2410.33,1977677,0.0,1.0
2021-04-30,2410.12,2427.14,2402.16,2404.49,1957130,2410.12,2427.14,2402.16,2404.49,1957130,0.0,1.0
2021-05-03,2395.17,2419.7,2384.5,2402.72,1689389,2395.17,2419.7,2384.5,2402.72,1689389,0.0,1.0
2021-05-04,2354.25,2379.26,2311.7,2369.74,1756015,2354.25,2379.26,2311.7,2369.74,1756015,0.0,1.0
2021-05-05,2356.74,2382.2,2351.41,2368.42,1090275,2356.74,2382.2,2351.41,2368.42,1090275,0.0,1.0
2021-05-06,2381.35,2382.71,2342.3382,2350.64,1030859,2381.35,2382.71,2342.3382,2350.64,1030859,0.0,1.0
2021-05-07,2398.69,2416.41,2390.0,2400.0,1163892,2398.69,2416.41,2390.0,2400.0,1163892,0.0,1.0
2021-05-10,2341.66,2378.0,2334.73,2374.89,1300271,2341.66,2378.0,2334.73,2374.89,1300271,0.0,1.0
2021-05-11,2308.76,2322.0,2283.0,2291.86,1605548,2308.76,2322.0,2283.0,2291.86,1605548,0.0,1.0
2021-05-12,2239.08,2285.37,2230.05,2261.71,1746664,2239.08,2285.37,2230.05,2261.71,1746664,0.0,1.0
2021-05-13,2261.97,2276.6012,2242.72,2261.09,1333508,2261.97,2276.6012,2242.72,2261.09,1333508,0.0,1.0
2021-05-14,2316.16,2321.14,2283.32,2291.83,1331248,2316.16,2321.14,2283.32,2291.83,1331248,0.0,1.0
2021-05-17,2321.41,2323.34,2295.0,2309.32,992416,2321.41,2323.34,2295.0,2309.32,992416,0.0,1.0
2021-05-18,2303.43,2343.15,2303.16,2336.9056,865119,2303.43,2343.15,2303.16,2336.9056,865119,0.0,1.0
2021-05-19,2308.71,2316.76,2263.52,2264.4,967544,2308.71,2316.76,2263.52,2264.4,967544,0.0,1.0
2021-05-20,2356.09,2360.34,2321.09,2328.04,1191593,2356.09,2360.34,2321.09,2328.04,1191593,0.0,1.0
2021-05-21,2345.1,2368.9999,2342.37,2365.99,1141632,2345.1,2368.9999,2342.37,2365.99,1141632,0.0,1.0
2021-05-24,2406.67,2418.48,2360.11,2367.0,1062189,2406.67,2418.48,2360.11,2367.0,1062189,0.0,1.0
2021-05-25,2409.07,2432.89,2402.99,2420.0,941928,2409.07,2432.89,2402.99,2420.0,941928,0.0,1.0
2021-05-26,2433.53,2442.944,2412.515,2412.835,1092819,2433.53,2442.944,2412.515,2412.835,1092819,0.0,1.0
2021-05-27,2402.51,2440.0,2402.0,2436.94,1948113,2402.51,2440.0,2402.0,2436.94,1948113,0.0,1.0
2021-05-28,2411.56,2428.14,2407.69,2421.96,1205382,2411.56,2428.14,2407.69,2421.96,1205382,0.0,1.0
2021-06-01,2429.81,2437.9709,2404.88,2422.0,958289,2429.81,2437.9709,2404.88,2422.0,958289,0.0,1.0
2021-06-02,2421.28,2442.0,2404.2,2435.31,858105,2421.28,2442.0,2404.2,2435.31,858105,0.0,1.0
2021-06-03,2404.61,2409.745,2382.83,2395.02,917291,2404.61,2409.745,2382.83,2395.02,917291,0.0,1.0
2021-06-04,2451.76,2453.859,2417.77,2422.52,1297434,2451.76,2453.859,2417.77,2422.52,1297434,0.0,1.0
2021-06-07,2466.09,2468.0,2441.0725,2451.32,1192453,2466.09,2468.0,2441.0725,2451.32,1192453,0.0,1.0
2021-06-08,2482.85,2494.495,2468.24,2479.9,1253253,2482.85,2494.495,2468.24,2479.9,1253253,0.0,1.0
2021-06-09,2491.4,2505.0,2487.33,2499.5,1006337,2491.4,2505.0,2487.33,2499.5,1006337,0.0,1.0
2021-06-10,2521.6,2523.26,2494.0,2494.01,1561733,2521.6,2523.26,2494.0,2494.01,1561733,0.0,1.0
2021-06-11,2513.93,2526.99,2498.29,2524.92,1262309,2513.93,2526.99,2498.29,2524.92,1262309,0.0,1.0
2021-06-14,2527.04,2528.23,2500.94,2513.39,1127522,2527.04,2528.23,2500.94,2513.39,1127522,0.0,1.0
2021-06-15,2520.66,2537.24,2512.97,2530.44,1109130,2520.66,2537.24,2512.97,2530.44,1109130,0.0,1.0
2021-06-16,2513.93,2530.47,2482.9994,2524.95,1307168,2513.93,2530.47,2482.9994,2524.95,1307168,0.0,1.0
2021-06-17,2527.42,2543.93,2510.3,2510.46,1287791,2527.42,2543.93,2510.3,2510.46,1287791,0.0,1.0
2021-06-18,2511.35,2527.78,2492.06,2514.11,2665310,2511.35,2527.78,2492.06,2514.11,2665310,0.0,1.0
2021-06-21,2529.1,2540.7349,2502.685,2514.8,1312826,2529.1,2540.7349,2502.685,2514.8,1312826,0.0,1.0
2021-06-22,2539.99,2545.4,2520.53,2529.0,1049310,2539.99,2545.4,2520.53,2529.0,1049310,0.0,1.0
2021-06-23,2529.23,2555.92,2525.04,2531.0,984658,2529.23,2555.92,2525.04,2531.0,984658,0.0,1.0
2021-06-24,2545.64,2550.71,2539.2,2541.07,946662,2545.64,2550.71,2539.2,2541.07,946662,0.0,1.0
2021-06-25,2539.9,2550.1,2528.88,2539.14,1674297,2539.9,2550.1,2528.88,2539.14,1674297,0.0,1.0
2021-06-28,2536.39,2546.74,2519.4756,2540.0,1405543,2536.39,2546.74,2519.4756,2540.0,1405543,0.0,1.0
2021-06-29,2520.37,2540.0,2508.74,2535.45,1047478,2520.37,2540.0,2508.74,2535.45,1047478,0.0,1.0
2021-06-30,2506.32,2516.0,2495.15,2513.0713,1200478,2506.32,2516.0,2495.15,2513.0713,1200478,0.0,1.0
2021-07-01,2527.37,2529.25,2496.995,2496.995,856230,2527.37,2529.25,2496.995,2496.995,856230,0.0,1.0
2021-07-02,2574.38,2576.96,2535.38,2536.79,1058256,2574.38,2576.96,2535.38,2536.79,1058256,0.0,1.0
2021-07-06,2595.42,2597.69,2568.18,2588.99,1067517,2595.42,2597.69,2568.18,2588.99,1067517,0.0,1.0
2021-07-07,2601.55,2612.7983,2595.2,2606.82,834186,2601.55,2612.7983,2595.2,2606.82,834186,0.0,1.0
2021-07-08,2583.54,2600.65,2560.8,2565.0,988975,2583.54,2600.65,2560.8,2565.0,988975,0.0,1.0
2021-07-09,2591.49,2596.99,2578.87,2578.89,755466,2591.49,2596.99,2578.87,2578.89,755466,0.0,1.0
2021-07-12,2611.28,2615.4,2592.0,2596.67,847546,2611.28,2615.4,2592.0,2596.67,847546,0.0,1.0
2021-07-13,2619.89,2640.8399,2612.74,2617.63,830898,2619.89,2640.8399,2612.74,2617.63,830898,0.0,1.0
2021-07-14,2641.65,2659.9199,2637.96,2638.03,895927,2641.65,2659.9199,2637.96,2638.03,895927,0.0,1.0
2021-07-15,2625.33,2651.9,2611.96,2650.0,829316,2625.33,2651.9,2611.96,2650.0,829316,0.0,1.0
2021-07-16,2636.91,2643.66,2616.43,2632.82,743059,2636.91,2643.66,2616.43,2632.82,743059,0.0,1.0
2021-07-19,2585.08,2624.94,2570.74,2623.11,1285466,2585.08,2624.94,2570.74,2623.11,1285466,0.0,1.0
2021-07-20,2622.03,2640.0271,2583.7675,2600.08,954156,2622.03,2640.0271,2583.7675,2600.08,954156,0.0,1.0
2021-07-21,2652.01,2652.345,2612.03,2615.74,737082,2652.01,2652.345,2612.03,2615.74,737082,0.0,1.0
2021-07-22,2666.57,2670.09,2648.0,2653.0,680407,2666.57,2670.09,2648.0,2653.0,680407,0.0,1.0
2021-07-23,2756.32,2776.17,2694.01,2705.2,1318887,2756.32,2776.17,2694.01,2705.2,1318887,0.0,1.0
2021-07-26,2792.89,2794.26,2753.0201,2765.0,1152623,2792.89,2794.26,2753.0201,2765.0,1152623,0.0,1.0
2021-07-27,2735.93,2800.22,2702.0,2800.22,2108153,2735.93,2800.22,2702.0,2800.22,2108153,0.0,1.0
2021-07-28,2727.63,2793.52,2727.0,2771.24,2734417,2727.63,2793.52,2727.0,2771.24,2734417,0.0,1.0
2021-07-29,2730.81,2743.03,2722.76,2727.612,948565,2730.81,2743.03,2722.76,2727.612,948565,0.0,1.0
2021-07-30,2704.42,2715.4273,2696.284,2710.22,1197725,2704.42,2715.4273,2696.284,2710.22,1197725,0.0,1.0
2021-08-02,2719.79,2720.41,2693.39,2709.69,1007002,2719.79,2720.41,2693.39,2709.69,1007002,0.0,1.0
2021-08-03,2725.6,2726.71,2683.67,2720.0,953200,2725.6,2726.71,2683.67,2720.0,953200,0.0,1.0
2021-08-04,2720.57,2730.76,2708.3,2724.99,826357,2720.57,2730.76,2708.3,2724.99,826357,0.0,1.0
2021-08-05,2738.8,2739.0,2712.0,2720.57,593589,2738.8,2739.0,2712.0,2720.57,593589,0.0,1.0
2021-08-06,2740.72,2741.6009,2720.93,2725.9,678251,2740.72,2741.6009,2720.93,2725.9,678251,0.0,1.0
2021-08-09,2760.04,2766.43,2728.575,2738.98,618978,2760.04,2766.43,2728.575,2738.98,618978,0.0,1.0
2021-08-10,2761.93,2771.03,2744.53,2761.59,801954,2761.93,2771.03,2744.53,2761.59,801954,0.0,1.0
2021-08-11,2753.79,2776.955,2747.0,2765.66,760483,2753.79,2776.955,2747.0,2765.66,760483,0.0,1.0
2021-08-12,2767.79,2768.36,2735.58,2754.26,732470,2767.79,2768.36,2735.58,2754.26,732470,0.0,1.0
2021-08-13,2768.12,2773.48,2760.1,2767.15,626348,2768.12,2773.48,2760.1,2767.15,626348,0.0,1.0
2021-08-16,2778.32,2779.81,2723.315,2760.0,902542,2778.32,2779.81,2723.315,2760.0,902542,0.0,1.0
2021-08-17,2746.01,2774.37,2735.75,2763.82,1063701,2746.01,2774.37,2735.75,2763.82,1063701,0.0,1.0
2021-08-18,2731.4,2765.88,2728.42,2742.31,746723,2731.4,2765.88,2728.42,2742.31,746723,0.0,1.0
2021-08-19,2738.27,2749.04,2707.12,2709.35,914796,2738.27,2749.04,2707.12,2709.35,914796,0.0,1.0
2021-08-20,2768.74,2772.29,2729.34,2741.66,778337,2768.74,2772.29,2729.34,2741.66,778337,0.0,1.0
2021-08-23,2821.99,2843.5399,2774.9586,2779.97,1054484,2821.99,2843.5399,2774.9586,2779.97,1054484,0.0,1.0
2021-08-24,2847.97,2860.15,2827.07,2830.87,756313,2847.97,2860.15,2827.07,2830.87,756313,0.0,1.0
2021-08-25,2859.0,2866.26,2848.79,2857.66,642153,2859.0,2866.26,2848.79,2857.66,642153,0.0,1.0
2021-08-26,2842.46,2862.696,2841.83,2852.37,746100,2842.46,2862.696,2841.83,2852.37,746100,0.0,1.0
2021-08-27,2891.01,2900.22,2840.4,2842.25,1228412,2891.01,2900.22,2840.4,2842.25,1228412,0.0,1.0
2021-08-30,2909.39,2929.7899,2892.0,2894.09,845795,2909.39,2929.7899,2892.0,2894.09,845795,0.0,1.0
2021-08-31,2909.24,2922.24,2900.0,2917.69,1337821,2909.24,2922.24,2900.0,2917.69,1337821,0.0,1.0
